Clave;Tratamiento;No. De Secuencias;OTUs observadas;Riqueza
CTB;Suelo sin plantas de trigo;3463;523;14831.7
;;3454;567;26282
;;4569;550;16540.7
;;14720;559;13691.1
;;9894;538;7834
;;3923;558;7208.3
;;4986;521;8255.6
;Suelo con plantas de trigo;6295;544;14246.6
;;1215;598;11869.4
;;8875;558;12685.5
;;7270;547;9078.4
;;4073;556;7231.5
;;3137;555;8402
CTB - N ;Suelo sin plantas de trigo;5633;521;5729.9
;;3150;547;4652.2
;;10442;603;22544
;;3104;478;3911.6
;;5346;533;6569
;;4309;529;5802
;;4635;497;3441.9
;Suelo con plantas de trigo;3735;532;4215
;;4118;577;10289.7
;;8440;560;15275.3
;;7007;502;3607
;;5981;564;7057
;;4883;539;4208.1
PBB;Suelo sin plantas de trigo;3880;541;5068
;;1168;578;10325.6
;;9523;571;22931
;;11343;534;10596.8
;;7195;574;12442.5
;;6776;526;8385.4
;Suelo con plantas de trigo;8379;543;17934
;;5233;546;17871.1
;;6484;548;10448.1
;;9776;516;10581.5
;;5565;550;6107.8
;;4912;573;9583.6
PBB - N;Suelo sin plantas de trigo;4421;548;10373
;;616;578;7465.5
;;8321;547;14512.6
;;8599;505;10245.5
;;8089;577;10254.9
;;3926;529;8451.3
;Suelo con plantas de trigo;9682;600;29854.7
;;6834;535;12520.5
;;11644;570;13289
;;10803;530;16754.4
;;3988;546;8013.8
;;5034;553;16663.1
PBR;Suelo sin plantas de trigo;5993;508;5423.2
;;3567;531;5604.8
;;3189;517;3800.2
;;8682;561;12869
;;11498;523;7141.5
;;3895;531;6400.3
;;2975;507;4818.6
;Suelo con plantas de trigo;4138;554;10567.2
;;5147;538;14032
;;2794;549;8671.1
;;2971;543;11831.3
;;3214;541;6394.5
;;4163;568;9833
PBR - N;Suelo sin plantas de trigo;4843;537;8232.1
;;2468;592;13330.5
;;8824;567;17464.3
;;7691;532;9876
;;7915;570;13289
;;6468;532;7714.6
;Suelo con plantas de trigo;5880;558;7488.1
;;8836;574;8433.5
;;7726;453;2691.9
;;13714;526;4038.8
;;5836;556;5209.1
;;5861;501;4394
